,CellType,Count,Group
0,ExN,9995,17-18 GW
1,ExM,9822,17-18 GW
2,IP,2150,17-18 GW
3,ExDp1,2039,17-18 GW
4,ExM-U,1756,17-18 GW
5,InMGE,1705,17-18 GW
6,InCGE,1434,17-18 GW
7,oRG,1293,17-18 GW
8,PgS,1232,17-18 GW
9,vRG,984,17-18 GW
10,PgG2M,695,17-18 GW
11,OPC,306,17-18 GW
12,End,237,17-18 GW
13,ExDp2,166,17-18 GW
14,Per,114,17-18 GW
15,Mic,48,17-18 GW
0,CPNs,4949,3months
1,Immature CPNs,3308,3months
2,CFuPNs,2912,3months
3,Immature PNs,1598,3months
4,IPCs/Immature PNs,1403,3months
5,Immature CFuPNs,1199,3months
6,oRG,1056,3months
7,RG,686,3months
8,Cycling,663,3months
0,oRG,5733,6months
1,Astroglia,3438,6months
2,Immature CPNs,2682,6months
3,Immature Interneurons,2261,6months
4,Cycling,1750,6months
5,CPNs,1462,6months
6,Immature PNs,1362,6months
7,Ventral Precursors,1329,6months
8,Unknown,608,6months
9,RG,418,6months
10,IPCs,170,6months
